orders_created_at_est_year,orders_created_at_est_day,orders_total_order_count
2018,12-11,10061
2018,08-20,7021
2018,09-20,8594
2018,07-16,6495
2018,07-29,7132
2018,03-30,10811
2018,06-26,7297
2018,11-25,9552
2018,12-17,9155
2018,12-24,10685
2018,08-07,7799
2018,06-03,7704
2018,02-08,7838
2018,09-22,10131
2018,01-13,7707
2018,02-28,8188
2018,01-20,7200
2018,09-15,10189
2018,01-02,6604
2018,03-21,8559
2018,09-21,11793
2018,11-18,10324
2018,02-10,9008
2018,04-16,6523
2018,03-12,6657
2018,06-11,6027
2018,11-13,9268
2018,06-09,8683
2018,10-20,11436
2018,08-16,8834
2018,09-30,8815
2018,12-29,13920
2018,07-23,6452
2018,09-17,6964
2018,10-02,8753
2018,11-24,11108
2018,09-07,12423
2018,12-10,8898
2018,08-13,7028
2018,01-14,5840
2018,03-29,9243
2018,07-28,8851
2018,07-21,9280
2018,02-25,7082
2018,10-17,9357
2018,06-20,7803
2018,04-22,6640
2018,10-08,7246
2018,01-26,9479
2018,08-21,7564
2018,11-28,11215
2018,02-03,9074
2018,11-02,16529
2018,08-05,7536
2018,04-26,7981
2018,01-08,6017
2018,09-28,12934
2018,10-21,8822
2018,06-18,6261
2018,03-23,10306
2018,07-13,9865
2018,06-25,6355
2018,06-12,6924
2018,03-07,9034
2018,04-30,6421
2018,05-25,9618
2018,10-05,12773
2018,03-19,6115
2018,11-12,8181
2018,01-01,6749
2018,03-17,8566
2018,07-07,8144
2018,06-02,10008
2018,06-05,7320
2018,11-16,15664
2018,08-17,11377
2018,07-01,7934
2018,02-22,9106
2018,05-16,7753
2018,03-09,10697
2018,10-30,9361
2018,05-27,6362
2018,11-07,10073
2018,04-04,8141
2018,05-23,7167
2018,08-24,11386
2018,09-27,9688
2018,02-19,6227
2019,08-27,13490
2019,12-31,21795
2019,05-22,13309
2019,06-25,13329
2019,08-11,12625
2019,09-12,16208
2019,10-28,13277
2019,11-03,15876
2019,12-01,15923
2019,11-27,20507
2019,08-06,13065
2019,10-23,15923
2019,04-08,10817
2019,08-29,15831
2019,04-15,11231
2019,02-03,11153
2019,03-03,14109
2019,11-02,21535
2019,04-05,20358
2019,01-12,13937
2019,11-20,17517
2019,02-01,20326
2019,03-04,11364
2019,04-22,10255
2019,11-05,15706
2019,03-11,10541
2019,06-02,14102
2019,05-23,15112
2019,11-14,18344
2019,01-02,10629
2019,11-12,15399
2019,02-07,13721
2019,06-05,14523
2019,07-12,18861
2019,11-19,15537
2019,11-04,13916
2019,08-02,21045
2019,05-10,19414
