UNIQUE_CODE,ENGLISH_NAME,GMV_LEVEL_VOICE_PLATFORM,GMV_MONTHLY_AVERAGE_VOICE_PLATFORM_USD,STATE_CODE,ZIP_CODE,REGION,CREATED_AT,STATUS,CUISINE_TYPE (Internal),First Seen (Brizo),Population,Population Band,Population Density,Population Density Band,Median Household Income,Median Income Band,School Zone Rating
R88257,^ASIAN FORTUNE^,"2. $10,000 to $29,999","$23,089",NY,11375,Northeast,2016-01-01T05:00:00Z,active,unknown,2019,73034,"50,001+",14175.6,"5,001 - 20,000","$103,995","$100,001 - $150,000",B+
R85788,CHINA BEIJING,"2. $10,000 to $29,999","$17,474",WI,54552,Midwest,2023-07-07T17:36:15Z,active,chinese,2019,4071,"1 - 5,000",4.5,1 - 100,"$54,239","$1 - $60,000",B-
R88187,CHEUN HING KITCHEN,"2. $10,000 to $29,999","$27,044",NY,11419,Northeast,2016-01-01T05:00:00Z,canceled,unknown,2019,48369,"20,201 - 50,000",16683,"5,001 - 20,000","$90,818","$60,000 - $100,000",B+
R82815,*HOWELL KITCHEN*,"2. $10,000 to $29,999","$15,265",NJ,7731,Northeast,2022-02-06T20:18:56Z,active,chinese,2019,38730,"20,201 - 50,000",449.9,101 - 500,NA,NA,A-
R88369,CHINA CITY,"2. $10,000 to $29,999","$13,712",VA,24482,Southeast,2016-12-14T18:17:46Z,canceled,unknown,2019,5267,"5,001 - 20,000",132.4,101 - 500,"$66,582","$60,000 - $100,000",B
R85852,CHINA ONE,"3. $30,000 to $49,999","$35,228",FL,33870,Southeast,2023-07-21T17:51:05Z,active,chinese,2019,22284,"20,201 - 50,000",155.4,101 - 500,"$43,915","$1 - $60,000",B-
R85966,CHINA EIGHT,"2. $10,000 to $29,999","$27,928",NC,27209,Southeast,2023-08-10T16:46:56Z,active,chinese,2019,4584,"1 - 5,000",38.8,1 - 100,"$49,271","$1 - $60,000",B
R83795,GRAND HUNAN,"1. < $10,000","$7,951",VA,22205,Southeast,2022-10-26T19:03:55Z,active,chinese,2019,18982,"5,001 - 20,000",2699.6,"501 - 5,000","$206,369","$150,001 - $250,000",A+
R86195,^DANNY'S WOK^,"5. > $100,000","$165,411",PA,19143,Northeast,2023-09-20T21:15:39Z,active,unknown,2019,64630,"50,001+",7844,"5,001 - 20,000","$41,764","$1 - $60,000",D+
R88618,LIANG'S GARDEN,"2. $10,000 to $29,999","$15,426",NY,10454,Northeast,2018-01-10T15:45:48Z,active,unknown,2020,37212,"20,201 - 50,000",13709,"5,001 - 20,000","$26,400","$1 - $60,000",B+
R83028,*CHINA KITCHEN*,"2. $10,000 to $29,999","$25,527",WV,26104,Southeast,2022-04-19T20:34:36Z,active,chinese,2019,15808,"5,001 - 20,000",164.1,101 - 500,"$47,604","$1 - $60,000",B-
R86683,*^KOBE STEAKHOUSE^*,"1. < $10,000",$0,GA,30345,Southeast,2023-12-16T20:18:59Z,suspended,japanese,2019,25797,"20,201 - 50,000",1399.3,"501 - 5,000","$101,875","$100,001 - $150,000",B-
R86826,*CHINA BLOSSOM*,,$0,MS,38930,Southeast,2024-01-15T22:20:54Z,onboarding,chinese,2019,23445,"20,201 - 50,000",45,1 - 100,"$34,072","$1 - $60,000",NA
R88161,CHINA WOK,"3. $30,000 to $49,999","$37,489",NY,10465,Northeast,2016-01-01T05:00:00Z,active,unknown,2019,43671,"20,201 - 50,000",4963.1,"501 - 5,000","$85,946","$60,000 - $100,000",B+
R88507,*DRAGON EXPRESS*,"2. $10,000 to $29,999","$27,202",SC,29485,Southeast,2017-03-18T16:16:47Z,active,unknown,2019,60028,"50,001+",649.3,"501 - 5,000","$78,363","$60,000 - $100,000",A
R88731,CHINA ONE,"4. $50,000 - $99,999 ","$52,772",MD,21237,Northeast,2018-08-24T14:40:39Z,active,unknown,2019,30129,"20,201 - 50,000",1011,"501 - 5,000","$84,118","$60,000 - $100,000",C
R85527,^CHINA 1 in CAMP CREEK^,"1. < $10,000",$0,GA,30344,Southeast,2023-04-26T04:39:38Z,canceled,chinese,NA,32690,"20,201 - 50,000",1042.9,"501 - 5,000","$58,710","$1 - $60,000",C-
R83918,CHINA GARDEN,"1. < $10,000","$9,195",AZ,85938,Southwest,2022-11-27T15:59:11Z,active,chinese,2019,2322,"1 - 5,000",2.4,1 - 100,"$48,700","$1 - $60,000",B+
R85222,*ASIAN CAFE*,"1. < $10,000",$0,NY,12534,Northeast,2023-02-22T06:24:02Z,canceled,chinese,2019,18007,"5,001 - 20,000",79.9,1 - 100,"$72,331","$60,000 - $100,000",B-
R86605,*CHINA GATE*,"2. $10,000 to $29,999","$12,244",FL,33624,Southeast,2023-12-01T23:31:39Z,active,chinese,2019,39803,"20,201 - 50,000",1711.2,"501 - 5,000","$81,241","$60,000 - $100,000",A-
R85863,*^CHONG QING HOUSE^*,"1. < $10,000",$0,IL,61820,Midwest,2023-07-25T20:19:27Z,suspended,unknown,NA,38393,"20,201 - 50,000",2270.4,"501 - 5,000","$33,045","$1 - $60,000",B
R83139,*CHINA KING*,"2. $10,000 to $29,999","$15,670",FL,32746,Southeast,2022-06-06T16:56:50Z,active,chinese,2019,45244,"20,201 - 50,000",794.9,"501 - 5,000","$103,941","$100,001 - $150,000",A
R81933,CHINA KING,"2. $10,000 to $29,999","$22,683",MI,48430,Midwest,2021-08-30T22:08:21Z,active,chinese,2019,35948,"20,201 - 50,000",167.2,101 - 500,"$93,613","$60,000 - $100,000",A-
R85782,PANDA,"3. $30,000 to $49,999","$31,236",SC,29316,Southeast,2023-07-06T16:39:09Z,active,chinese,2019,26732,"20,201 - 50,000",473.7,101 - 500,"$75,933","$60,000 - $100,000",B
R82837,^DOUBLE DRAGON 9^,"2. $10,000 to $29,999","$20,527",KY,40299,Southeast,2022-02-15T18:29:44Z,active,Chinese,2019,41463,"20,201 - 50,000",301.4,101 - 500,"$83,783","$60,000 - $100,000",B-
R83165,*LUCKY RICE*,"2. $10,000 to $29,999","$22,182",TX,75211,Southwest,2022-06-13T22:37:26Z,canceled,chinese,2019,77570,"50,001+",1695.7,"501 - 5,000","$53,614","$1 - $60,000",B-
R83787,*CHINA STAR*,"1. < $10,000","$7,486",NC,27536,Southeast,2022-10-22T20:06:38Z,active,chinese,2019,16522,"5,001 - 20,000",499.5,101 - 500,"$39,028","$1 - $60,000",C-
R85199,*CHINA A GO GO DESERT INN*,"2. $10,000 to $29,999","$15,032",NV,89121,West,2023-02-21T12:33:15Z,active,chinese,2022,63190,"50,001+",2646.7,"501 - 5,000","$50,757","$1 - $60,000",C
R86969,*SHANGHAI EXPRESS*,,$0,NC,28659,Southeast,2024-02-11T18:50:27Z,onboarding,chinese,2019,21457,"20,201 - 50,000",81.2,1 - 100,"$50,351","$1 - $60,000",NA
R82567,CHINA ROYAL,"1. < $10,000","$5,703",PA,16417,Northeast,2021-11-14T23:28:04Z,active,chinese,2019,7861,"5,001 - 20,000",65.4,1 - 100,"$78,021","$60,000 - $100,000",A-
R82809,ORIENTAL EXPRESS,"1. < $10,000","$6,010",VA,20121,Southeast,2022-02-02T23:20:58Z,active,chinese,2019,29426,"20,201 - 50,000",1311.9,"501 - 5,000","$128,682","$100,001 - $150,000",A
R85215,*HONG KONG*,,$0,PA,16506,Northeast,2023-02-18T05:42:00Z,canceled,chinese,2019,24438,"20,201 - 50,000",670.3,"501 - 5,000","$83,782","$60,000 - $100,000",NA
R86081,CHINA HOUSE,"2. $10,000 to $29,999","$10,350",NY,10472,Northeast,2023-08-26T22:09:06Z,active,chinese,2019,67948,"50,001+",24895.4,"20,001+","$40,025","$1 - $60,000",B+
R82589,CHINA EXPRESS I,"1. < $10,000","$6,457",TX,79416,Southwest,2021-11-30T16:29:15Z,active,chinese,2019,34124,"20,201 - 50,000",410.1,101 - 500,"$65,774","$60,000 - $100,000",A
R85336,JADE GARDEN,"2. $10,000 to $29,999","$10,741",CT,6040,Northeast,2023-04-01T06:01:50Z,active,chinese,2019,34661,"20,201 - 50,000",788.7,"501 - 5,000",NA,NA,B-
R81061,*^ORIENTAL DELIGHT^*,"1. < $10,000","$6,668",SC,29650,Southeast,2019-10-07T18:59:55Z,suspended,unknown,NA,35253,"20,201 - 50,000",756.5,"501 - 5,000","$91,439","$60,000 - $100,000",A-
R81575,KING GARDEN,"3. $30,000 to $49,999","$48,749",DE,19809,Northeast,2021-03-31T19:46:24Z,active,unknown,2019,15139,"5,001 - 20,000",835.3,"501 - 5,000","$83,923","$60,000 - $100,000",B
R88571,*CANTON VILLAGE*,"2. $10,000 to $29,999","$29,104",FL,33013,Southeast,2017-08-14T18:49:58Z,active,unknown,2019,31712,"20,201 - 50,000",3211.5,"501 - 5,000","$54,842","$1 - $60,000",B
R83289,*^NEW ING'S PALACE^*,"1. < $10,000",$0,IL,60459,Midwest,2022-07-20T18:54:42Z,canceled,Chinese,2019,28709,"20,201 - 50,000",2641.4,"501 - 5,000","$81,060","$60,000 - $100,000",B
R82777,HUNAN GARDEN,"1. < $10,000","$6,854",MN,55901,Midwest,2022-01-18T00:54:44Z,active,chinese,2019,55363,"50,001+",715.6,"501 - 5,000","$85,890","$60,000 - $100,000",B
R82775,CHINA SEA,"2. $10,000 to $29,999","$26,997",NY,13323,Northeast,2022-01-17T16:12:36Z,active,chinese,2019,11282,"5,001 - 20,000",114.5,101 - 500,"$80,438","$60,000 - $100,000",A
R81236,GOLDEN CHOPSTICKS,"2. $10,000 to $29,999","$21,148",FL,33469,Southeast,2020-07-12T20:12:38Z,active,unknown,2019,14924,"5,001 - 20,000",504.2,"501 - 5,000","$96,460","$60,000 - $100,000",A-
R83351,*GREAT WALL*,"2. $10,000 to $29,999","$17,719",OK,73142,Southwest,2022-08-03T15:42:34Z,active,chinese,2019,14874,"5,001 - 20,000",587.3,"501 - 5,000","$84,224","$60,000 - $100,000",A
R83689,*NO. 1 CHINA WOK*,"3. $30,000 to $49,999","$41,591",FL,32707,Southeast,2022-09-24T18:37:30Z,active,chinese,2019,36036,"20,201 - 50,000",1432.9,"501 - 5,000","$64,381","$60,000 - $100,000",A-
R89989,*^FIVE STAR^*,,$0,SC,29150,Southeast,2024-02-14T17:26:38Z,canceled,unknown,NA,38053,"20,201 - 50,000",341.8,101 - 500,"$46,133","$1 - $60,000",NA
R81513,STARRY ASIAN CUISINE,"1. < $10,000","$7,677",NY,13203,Northeast,2021-02-12T18:10:37Z,canceled,unknown,NA,16513,"5,001 - 20,000",3751,"501 - 5,000","$42,451","$1 - $60,000",C
R86533,*^PEKING TOKYO ASIAN CUISINE^*,,$0,SC,29708,Southeast,2023-11-17T20:50:46Z,onboarding,Chinese,NA,36402,"20,201 - 50,000",734.4,"501 - 5,000","$125,677","$100,001 - $150,000",NA
R88926,WING YUM,"2. $10,000 to $29,999","$29,243",NY,10960,Northeast,2019-04-26T20:20:32Z,active,unknown,2019,15857,"5,001 - 20,000",1463.4,"501 - 5,000","$114,698","$100,001 - $150,000",A+
R83826,CHINA WOK,"2. $10,000 to $29,999","$27,910",IN,46176,Midwest,2022-11-03T02:14:30Z,active,chinese,2019,27737,"20,201 - 50,000",62.2,1 - 100,"$62,222","$60,000 - $100,000",B
R86687,EASTERN CHINA,"2. $10,000 to $29,999","$21,511",NC,27560,Southeast,2023-12-15T18:21:46Z,active,chinese,2019,35800,"20,201 - 50,000",472.7,101 - 500,"$110,458","$100,001 - $150,000",A+
R81959,PARADISE TASTE CHINA,"3. $30,000 to $49,999","$31,051",NY,11706,Northeast,2021-08-31T17:49:05Z,active,unknown,2019,68401,"50,001+",1549.8,"501 - 5,000","$110,965","$100,001 - $150,000",B-
R81812,*CHINA DRAGON*,"2. $10,000 to $29,999","$23,090",SC,29142,Southeast,2021-08-05T23:31:56Z,active,unknown,2019,4937,"1 - 5,000",36.9,1 - 100,"$50,739","$1 - $60,000",D+
R82763,BEI JING,"2. $10,000 to $29,999","$14,023",PA,18651,Northeast,2022-01-12T20:55:50Z,active,unknown,NA,8693,"5,001 - 20,000",278.2,101 - 500,"$46,554","$1 - $60,000",C
R85606,GREAT CHINA,"2. $10,000 to $29,999","$10,166",PA,19382,Northeast,2023-05-20T02:40:52Z,active,chinese,2019,55036,"50,001+",459.1,101 - 500,"$119,530","$100,001 - $150,000",A+
R88676,*HAPPI WOK*,,$0,FL,34698,Southeast,2018-05-05T14:49:39Z,canceled,unknown,2019,38720,"20,201 - 50,000",1463.7,"501 - 5,000","$63,824","$60,000 - $100,000",NA
R85097,^KAR RESTAURANT^,"2. $10,000 to $29,999","$10,113",NY,11206,Northeast,2023-01-17T04:41:13Z,active,Chinese,2023,88422,"50,001+",23799.9,"20,001+","$51,507","$1 - $60,000",B+
R81316,PEKING,"1. < $10,000","$9,179",OH,44805,Midwest,2020-10-07T14:58:43Z,active,unknown,2019,33290,"20,201 - 50,000",83.9,1 - 100,"$60,214","$60,000 - $100,000",B
R85372,*NO. 1 CHINA*,"3. $30,000 to $49,999","$47,402",GA,39828,Southeast,2023-04-11T04:56:43Z,active,chinese,2019,14477,"5,001 - 20,000",40.4,1 - 100,"$46,433","$1 - $60,000",C-
R83253,CHINA HOUSE,"2. $10,000 to $29,999","$18,123",MN,55398,Midwest,2022-07-13T18:58:05Z,active,chinese,2019,16428,"5,001 - 20,000",81.6,1 - 100,"$104,864","$100,001 - $150,000",B-
R83783,^CHINA KING^,"2. $10,000 to $29,999","$21,509",KY,40504,Southeast,2022-10-24T20:17:06Z,active,unknown,2019,27796,"20,201 - 50,000",1766.1,"501 - 5,000","$44,500","$1 - $60,000",A
R83197,SEMINOLE MAPLE GARDEN,"1. < $10,000","$8,688",OK,74868,Southwest,2022-06-27T22:35:07Z,canceled,chinese,2019,13133,"5,001 - 20,000",23.8,1 - 100,"$42,071","$1 - $60,000",B-
R86018,CHINA,"2. $10,000 to $29,999","$14,576",KS,67456,Midwest,2023-08-17T19:07:12Z,active,chinese,NA,4374,"1 - 5,000",11.7,1 - 100,"$69,673","$60,000 - $100,000",B+
R82362,^TASTY BOWL^,"2. $10,000 to $29,999","$18,520",FL,34471,Southeast,2021-10-25T00:46:10Z,active,chinese,2019,25734,"20,201 - 50,000",503.4,"501 - 5,000","$56,382","$1 - $60,000",B+
R82958,^YUMMY YUMMY^,"2. $10,000 to $29,999","$19,650",SC,29418,Southeast,2022-03-23T22:12:34Z,active,Chinese,2019,21460,"20,201 - 50,000",614.4,"501 - 5,000","$58,404","$1 - $60,000",B-
R83387,HIGHLAND GARDEN,"2. $10,000 to $29,999","$24,383",CT,6708,Northeast,2022-08-09T16:25:33Z,active,chinese,2019,29619,"20,201 - 50,000",1198.1,"501 - 5,000",NA,NA,C
R88722,HONG KONG,"1. < $10,000","$7,918",CT,6460,Northeast,2018-08-14T14:40:39Z,suspended,unknown,2019,38959,"20,201 - 50,000",1198.2,"501 - 5,000",NA,NA,A-
R83183,CHINA WOK,"2. $10,000 to $29,999","$20,793",FL,34231,Southeast,2022-06-19T01:26:26Z,active,chinese,2019,30341,"20,201 - 50,000",1242,"501 - 5,000","$67,543","$60,000 - $100,000",A
R81322,ASIAN FUSION,"2. $10,000 to $29,999","$11,829",MD,21236,Northeast,2020-10-15T15:54:00Z,canceled,unknown,NA,39707,"20,201 - 50,000",1789.5,"501 - 5,000","$91,855","$60,000 - $100,000",B
R82101,YUM'S EXPRESS,"2. $10,000 to $29,999","$28,111",MD,20740,Northeast,2021-11-02T20:05:41Z,active,chinese,2019,31349,"20,201 - 50,000",1521.1,"501 - 5,000","$79,446","$60,000 - $100,000",B+
R88876,*NEW CHINA CUISINE*,"1. < $10,000","$3,645",IL,61604,Midwest,2019-03-03T20:59:43Z,canceled,unknown,2019,29606,"20,201 - 50,000",724.1,"501 - 5,000","$49,740","$1 - $60,000",C+
R81231,DRAGON CHINA,"3. $30,000 to $49,999","$42,154",OH,45067,Midwest,2020-07-01T18:38:22Z,canceled,unknown,2019,15152,"5,001 - 20,000",294.6,101 - 500,"$86,009","$60,000 - $100,000",C+
R86377,*CHINA A GO GO FLAMINGO*,"1. < $10,000","$9,445",NV,89147,West,2023-10-31T20:32:58Z,active,chinese,2023,55865,"50,001+",2911.2,"501 - 5,000","$68,251","$60,000 - $100,000",B-
R81952,*CHINA STAR*,"3. $30,000 to $49,999","$43,962",IL,62024,Midwest,2021-08-30T23:41:58Z,suspended,chinese,2019,9799,"5,001 - 20,000",605.2,"501 - 5,000","$59,784","$1 - $60,000",C
R88763,CHINA CHEF,"2. $10,000 to $29,999","$23,293",FL,32736,Southeast,2018-09-28T15:07:12Z,canceled,unknown,2019,10848,"5,001 - 20,000",39.7,1 - 100,"$84,043","$60,000 - $100,000",B+
R81355,^CHINA HOUSE^,"1. < $10,000","$9,783",MI,48238,Midwest,2020-11-24T19:23:52Z,active,unknown,2019,25038,"20,201 - 50,000",1791.5,"501 - 5,000","$29,692","$1 - $60,000",D+
R88163,*NO. 1 CHINA*,"3. $30,000 to $49,999","$33,270",DE,19805,Northeast,2016-01-01T05:00:00Z,active,unknown,2019,38457,"20,201 - 50,000",2791.3,"501 - 5,000","$55,912","$1 - $60,000",A-
R81058,*UNIQUE*,"2. $10,000 to $29,999","$25,177",DE,19809,Northeast,2019-10-04T22:13:52Z,active,unknown,2019,15139,"5,001 - 20,000",835.3,"501 - 5,000","$83,923","$60,000 - $100,000",B
R83736,^SUMO JAPANESE SUSHI^,"2. $10,000 to $29,999","$14,830",TN,38125,Southeast,2022-10-08T16:53:14Z,suspended,japanese,2019,38131,"20,201 - 50,000",771.5,"501 - 5,000","$80,116","$60,000 - $100,000",B
R85031,*^SZECHUAN CHINESE RESTAURANT^*,"1. < $10,000",$0,OR,97424,West,2022-12-28T06:48:34Z,canceled,chinese,2019,17909,"5,001 - 20,000",30,1 - 100,"$65,283","$60,000 - $100,000",B-
R81327,FAR EAST ONE,"1. < $10,000","$9,957",FL,33619,Southeast,2020-10-19T15:58:06Z,active,unknown,2020,40092,"20,201 - 50,000",582.8,"501 - 5,000","$55,610","$1 - $60,000",A-
R88297,MEI MEI II,,$0,NY,10468,Northeast,2016-06-09T17:01:05Z,canceled,unknown,NA,78881,"50,001+",28443.9,"20,001+","$43,985","$1 - $60,000",NA
R88378,NEW CHINA MOON,"2. $10,000 to $29,999","$11,017",NJ,8002,Northeast,2017-01-13T22:11:38Z,canceled,unknown,NA,22964,"20,201 - 50,000",1232.4,"501 - 5,000",NA,NA,B+
R81953,*MAY FLOWER*,"4. $50,000 - $99,999 ","$55,972",NY,14094,Northeast,2021-08-30T22:41:30Z,active,chinese,2019,49257,"20,201 - 50,000",156,101 - 500,"$69,489","$60,000 - $100,000",B+
R88532,*WASABI SUSHI*,"1. < $10,000",$0,NJ,7052,Northeast,2017-05-15T16:39:40Z,canceled,unknown,2019,47342,"20,201 - 50,000",1520.1,"501 - 5,000",NA,NA,A-
R81003,NO.1 BUFFET,"1. < $10,000","$2,551",WY,82070,West,2019-08-18T20:22:58Z,canceled,unknown,NA,20630,"20,201 - 50,000",7.3,1 - 100,"$60,632","$60,000 - $100,000",A-
R81005,GOURMET TASTE,"1. < $10,000","$7,460",VA,22191,Southeast,2019-08-20T16:01:37Z,canceled,unknown,2019,71019,"50,001+",1734.3,"501 - 5,000","$101,659","$100,001 - $150,000",C+
R81855,CHINA PALACE,"2. $10,000 to $29,999","$19,774",MO,63701,Midwest,2021-08-07T14:51:49Z,canceled,chinese,2019,38672,"20,201 - 50,000",115.5,101 - 500,"$64,661","$60,000 - $100,000",B+
R88993,NEW JUMBO TASTE,"2. $10,000 to $29,999","$18,632",NY,11040,Northeast,2019-08-10T16:39:32Z,canceled,unknown,2019,41592,"20,201 - 50,000",3355.2,"501 - 5,000","$144,174","$100,001 - $150,000",A-
R86866,*NEW BLUE SKY*,"1. < $10,000",$0,NJ,7026,Northeast,2024-01-22T16:57:14Z,active,chinese,2019,31695,"20,201 - 50,000",5592.7,"5,001 - 20,000",NA,NA,C+
R85857,*OCEAN PEARL*,"3. $30,000 to $49,999","$33,367",CO,81625,West,2023-07-22T16:26:44Z,active,chinese,2019,12601,"5,001 - 20,000",3.2,1 - 100,"$64,900","$60,000 - $100,000",C+
R86777,CHINA INN,"2. $10,000 to $29,999","$14,992",IN,46241,Midwest,2024-01-01T15:10:06Z,active,chinese,2019,31941,"20,201 - 50,000",552.3,"501 - 5,000","$47,929","$1 - $60,000",B
R86188,*MING RIVER*,"2. $10,000 to $29,999","$20,546",RI,2907,Northeast,2023-09-19T18:46:19Z,active,unknown,2019,31294,"20,201 - 50,000",5490,"5,001 - 20,000",NA,NA,C-
R82007,CHINA WOK,"4. $50,000 - $99,999 ","$50,747",NY,10566,Northeast,2021-09-16T21:58:04Z,active,chinese,2019,24010,"20,201 - 50,000",2120.5,"501 - 5,000","$86,695","$60,000 - $100,000",C
R81108,EMPEROR'S CHOICE,"2. $10,000 to $29,999","$26,474",NC,27520,Southeast,2019-12-05T20:59:28Z,canceled,unknown,2019,42387,"20,201 - 50,000",224.2,101 - 500,"$82,694","$60,000 - $100,000",B+
R82925,*KANG'S GARDEN*,"2. $10,000 to $29,999","$23,443",FL,33626,Southeast,2022-03-17T15:32:39Z,active,chinese,2019,30743,"20,201 - 50,000",866.5,"501 - 5,000","$120,240","$100,001 - $150,000",A
R81883,QUEENS,"2. $10,000 to $29,999","$13,870",PA,19151,Northeast,2021-08-12T23:06:06Z,canceled,chinese,2019,33343,"20,201 - 50,000",5382.7,"5,001 - 20,000","$53,328","$1 - $60,000",D
R82398,*NEW SUN HING*,"1. < $10,000","$1,878",NY,11226,Northeast,2021-11-02T20:23:47Z,canceled,chinese,NA,99558,"50,001+",29812.3,"20,001+","$75,947","$60,000 - $100,000",B+
R82105,KING STAR,"2. $10,000 to $29,999","$25,637",PA,18509,Northeast,2021-10-05T18:59:07Z,active,chinese,2019,13851,"5,001 - 20,000",1863.1,"501 - 5,000","$52,163","$1 - $60,000",C+
R81107,CHINA WOK,"2. $10,000 to $29,999","$27,297",IN,46143,Midwest,2019-12-04T03:16:02Z,active,unknown,2019,57211,"50,001+",453,101 - 500,"$84,766","$60,000 - $100,000",A
R88622,ORIENTAL HOUSE,"2. $10,000 to $29,999","$13,557",AZ,85345,Southwest,2018-01-12T15:45:48Z,canceled,unknown,NA,57351,"50,001+",1696.4,"501 - 5,000","$61,628","$60,000 - $100,000",A-
R88923,YUMMY GARDEN,"3. $30,000 to $49,999","$40,877",NY,14607,Northeast,2019-04-26T20:47:19Z,active,unknown,2019,16521,"5,001 - 20,000",3785.4,"501 - 5,000","$53,281","$1 - $60,000",C
R85853,*CHINA WOK*,"2. $10,000 to $29,999","$25,924",FL,34609,Southeast,2023-07-21T19:53:56Z,active,chinese,2019,42227,"20,201 - 50,000",733,"501 - 5,000","$71,303","$60,000 - $100,000",B
R88327,CHINA KING,"2. $10,000 to $29,999","$20,024",NY,10452,Northeast,2016-09-04T18:20:04Z,active,unknown,2019,75452,"50,001+",29476,"20,001+","$36,536","$1 - $60,000",B+
R81161,SING WOK KITCHEN,"3. $30,000 to $49,999","$39,543",NY,10467,Northeast,2020-01-23T22:52:00Z,active,unknown,NA,101255,"50,001+",16738.7,"5,001 - 20,000","$46,228","$1 - $60,000",B+
R86565,*^KAWA SUSHI^*,,$0,NY,11758,Northeast,2023-11-22T02:27:16Z,onboarding,japanese,2019,52783,"50,001+",1854.5,"501 - 5,000","$146,410","$100,001 - $150,000",NA
R81127,MR WOK,"3. $30,000 to $49,999","$30,663",NJ,8610,Northeast,2020-01-05T18:02:22Z,active,unknown,2019,30842,"20,201 - 50,000",1543.3,"501 - 5,000",NA,NA,B-
R88808,APPLE ASIAN FUSION,"2. $10,000 to $29,999","$17,698",PA,18704,Northeast,2018-11-02T15:00:48Z,active,unknown,2019,30441,"20,201 - 50,000",1174.5,"501 - 5,000","$59,867","$1 - $60,000",C+
R88867,CHINA WOK,"2. $10,000 to $29,999","$12,366",LA,70506,Southeast,2019-02-15T22:06:27Z,canceled,unknown,2019,40662,"20,201 - 50,000",757.9,"501 - 5,000","$53,426","$1 - $60,000",B
R85682,*CHINA WOK*,"2. $10,000 to $29,999","$29,770",FL,33458,Southeast,2023-06-08T19:23:29Z,active,chinese,2019,58714,"50,001+",1048.7,"501 - 5,000","$104,146","$100,001 - $150,000",A
R83328,*NEW CHINA*,"2. $10,000 to $29,999","$14,769",OH,45385,Midwest,2022-07-31T02:50:51Z,active,chinese,2019,39139,"20,201 - 50,000",110.5,101 - 500,"$71,684","$60,000 - $100,000",C
R83651,CHINA STAR,"4. $50,000 - $99,999 ","$76,022",FL,33319,Southeast,2022-09-14T03:21:29Z,active,chinese,2019,46786,"20,201 - 50,000",2595.5,"501 - 5,000","$53,705","$1 - $60,000",B
R82637,CHINATOWN,"2. $10,000 to $29,999","$26,289",IL,60033,Midwest,2021-12-11T21:47:57Z,active,chinese,2019,13703,"5,001 - 20,000",43.6,1 - 100,"$69,619","$60,000 - $100,000",C-
R83775,CHINA STAR,"4. $50,000 - $99,999 ","$60,946",NY,12303,Northeast,2022-10-19T21:12:40Z,active,chinese,2019,28488,"20,201 - 50,000",715,"501 - 5,000","$77,917","$60,000 - $100,000",B
R85238,NEW CHINA,"2. $10,000 to $29,999","$19,086",FL,33617,Southeast,2023-03-02T05:12:58Z,active,chinese,2019,47441,"20,201 - 50,000",2130.1,"501 - 5,000","$45,719","$1 - $60,000",A-
R85311,*TING YU*,"2. $10,000 to $29,999","$13,983",NJ,7513,Northeast,2023-03-26T07:19:20Z,active,chinese,NA,12348,"5,001 - 20,000",8040.4,"5,001 - 20,000",NA,NA,C-
R83891,PANDA,"2. $10,000 to $29,999","$16,491",NY,11520,Northeast,2022-11-18T18:32:40Z,canceled,chinese,2019,43438,"20,201 - 50,000",3343.5,"501 - 5,000","$110,152","$100,001 - $150,000",B
R81561,SHANGHAI EXPRESS,"3. $30,000 to $49,999","$33,620",NY,14814,Northeast,2021-03-18T23:18:01Z,active,unknown,2019,1942,"1 - 5,000",87.1,1 - 100,"$95,598","$60,000 - $100,000",B+
R85856,^KING PHOENIX^,"2. $10,000 to $29,999","$10,473",NJ,8215,Northeast,2023-07-22T16:24:42Z,active,Chinese,2019,14155,"5,001 - 20,000",47.1,1 - 100,NA,NA,B+
R86759,*NEW CHINA*,"1. < $10,000",$0,GA,31322,Southeast,2023-12-27T17:35:21Z,canceled,chinese,NA,26126,"20,201 - 50,000",346.4,101 - 500,"$90,019","$60,000 - $100,000",C
R85536,^JADE EAST GARDEN^,"1. < $10,000","$6,008",AL,35125,Southeast,2023-04-29T05:22:21Z,active,Chinese,2019,9931,"5,001 - 20,000",80.7,1 - 100,"$61,865","$60,000 - $100,000",B
R88959,CHINA STAR,"2. $10,000 to $29,999","$15,631",OH,44320,Midwest,2019-06-05T20:49:48Z,canceled,unknown,2019,18554,"5,001 - 20,000",734.7,"501 - 5,000","$36,472","$1 - $60,000",B-
R88727,NEW YORK KITCHEN,"2. $10,000 to $29,999","$14,235",FL,32210,Southeast,2018-08-21T14:40:39Z,canceled,unknown,NA,62048,"50,001+",1188.7,"501 - 5,000","$55,910","$1 - $60,000",B-
R83962,*HAPPY STAR*,"3. $30,000 to $49,999","$37,395",VA,24201,Southeast,2022-12-07T22:56:06Z,active,chinese,NA,16252,"5,001 - 20,000",606.3,"501 - 5,000","$43,599","$1 - $60,000",B-
R81325,*NUMBER 1 WOK*,"2. $10,000 to $29,999","$20,213",FL,33950,Southeast,2020-10-18T17:46:59Z,active,unknown,2019,23299,"20,201 - 50,000",400.4,101 - 500,"$71,357","$60,000 - $100,000",B+
