UNIQUE_CODE,ENGLISH_NAME,GMV_LEVEL_VOICE_PLATFORM,GMV_MONTHLY_AVERAGE_VOICE_PLATFORM_USD,STATE_CODE,ZIP_CODE,REGION,CREATED_AT,STATUS,CUISINE_TYPE (Internal),First Seen (Brizo),Population,Population Band,Population Density,Population Density Band,Median Household Income,Median Income Band,School Zone Rating
R86071,DRAGON SEA,"2. $10,000 to $29,999","$21,016",NY,10457,Northeast,2023-08-24T19:50:33Z,active,chinese,2019,74822,"50,001+",27276.2,"20,001+","$41,145","$1 - $60,000",B+
R88182,YUMMY YUMMY,"2. $10,000 to $29,999","$18,902",NJ,7111,Northeast,2016-01-01T05:00:00Z,active,unknown,2019,54079,"50,001+",7161.7,"5,001 - 20,000",NA,NA,D
R81366,*NEW CHINA*,"1. < $10,000",$0,IL,60035,Midwest,2020-12-11T18:02:53Z,canceled,unknown,2019,29636,"20,201 - 50,000",900.2,"501 - 5,000","$159,519","$150,001 - $250,000",A+
R85386,KINGS WOK,"2. $10,000 to $29,999","$26,757",NY,14425,Northeast,2023-04-14T05:46:43Z,active,chinese,NA,12049,"5,001 - 20,000",249.1,101 - 500,"$86,422","$60,000 - $100,000",A
R82699,*^HARMONY VEGETARIAN^*,"1. < $10,000",$0,GA,30341,Southeast,2021-12-28T18:32:43Z,canceled,unknown,2019,32601,"20,201 - 50,000",1240.2,"501 - 5,000","$75,104","$60,000 - $100,000",B-
R88996,HONG KONG,"1. < $10,000","$8,750",KY,40214,Southeast,2019-08-14T20:26:44Z,canceled,unknown,2019,45844,"20,201 - 50,000",1189.4,"501 - 5,000","$55,218","$1 - $60,000",C
R88893,EAST CHINA,"3. $30,000 to $49,999","$30,263",IA,50703,Midwest,2019-03-20T00:05:19Z,active,unknown,2019,19306,"5,001 - 20,000",79.6,1 - 100,"$44,834","$1 - $60,000",C+
R85168,ZHANG GARDEN RESTAURANT,"2. $10,000 to $29,999","$14,992",FL,34471,Southeast,2023-02-04T05:15:17Z,active,chinese,2019,25734,"20,201 - 50,000",503.4,"501 - 5,000","$56,382","$1 - $60,000",B+
R82732,NEW CHINA,"1. < $10,000","$8,417",GA,30014,Southeast,2022-01-08T19:10:10Z,suspended,chinese,2019,38041,"20,201 - 50,000",124.7,101 - 500,"$68,163","$60,000 - $100,000",B-
R81717,BING CHINESE RESTAURANT,"3. $30,000 to $49,999","$38,732",NY,14621,Northeast,2021-06-25T23:11:57Z,active,unknown,2019,33066,"20,201 - 50,000",3096.4,"501 - 5,000","$32,713","$1 - $60,000",C
R88336,LUCKY,"1. < $10,000","$3,950",NY,11427,Northeast,2016-10-21T14:50:01Z,canceled,unknown,NA,24560,"20,201 - 50,000",5997.9,"5,001 - 20,000","$84,691","$60,000 - $100,000",B+
