zip_code,total_pop,white_alone,black_alone,asian_alone,chinese_persons,chinese_speakers_total,pct_white,pct_black,pct_asian,pct_chinese
00979,15597,4867,838,95,95,0,0.31204718856190294,0.053728281079694816,0.006090914919535808,0.006090914919535808
00982,13839,3863,2435,47,0,0,0.2791386660885902,0.17595201965459933,0.003396199147337235,0.0
00983,31583,9030,4840,38,0,0,0.28591330779216667,0.1532469999683374,0.001203178925371244,0.0
00985,31783,8292,4955,54,28,0,0.2608941887172388,0.15590095333983575,0.0016990214894755057,0.0008809741056539659
00987,55039,15101,6945,127,70,0,0.2743690837406203,0.1261832518759425,0.002307454713930122,0.0012718254328748706
01001,16136,14018,599,610,132,0,0.8687407040158651,0.03712196331184928,0.03780366881507189,0.008180466038671294
01002,24726,17855,1158,2117,685,0,0.7221143735339319,0.04683329289007523,0.08561837741648468,0.027703631804578178
01003,12458,7627,669,2801,998,0,0.6122170492855996,0.05370043345641355,0.2248354471022636,0.08010916680044951
01005,4786,4446,74,0,0,0,0.9289594651065608,0.015461763476807356,0.0,0.0
01007,15406,13393,399,454,159,0,0.8693366220952875,0.02589900038945865,0.02946903803712839,0.010320654290536154
01008,1324,1266,0,0,0,0,0.9561933534743202,0.0,0.0,0.0
01009,790,790,0,0,0,0,1.0,0.0,0.0,0.0
01010,3694,3213,53,15,0,0,0.8697888467785598,0.014347590687601516,0.004060638873849486,0.0
01011,1205,1174,0,0,0,0,0.9742738589211618,0.0,0.0,0.0
01012,387,377,0,0,0,0,0.9741602067183462,0.0,0.0,0.0
01013,22950,15109,1195,418,23,0,0.6583442265795207,0.05206971677559913,0.01821350762527233,0.0010021786492374729
01020,30230,23619,1448,636,56,0,0.7813099569963612,0.047899437644723784,0.02103870327489249,0.0018524644392987099
01022,2045,1572,214,51,0,0,0.7687041564792176,0.10464547677261614,0.02493887530562347,0.0
01026,1005,930,4,0,0,0,0.9253731343283582,0.003980099502487562,0.0,0.0
01027,17678,15401,98,225,91,0,0.8711958366331033,0.005543613530942414,0.012727684127163706,0.005147641135875099
01028,16283,14029,425,300,119,0,0.8615734201314255,0.026100841368298225,0.01842412331879875,0.007308235583123503
01029,652,636,0,0,0,0,0.9754601226993865,0.0,0.0,0.0
01030,12374,11469,216,59,28,0,0.9268627767900436,0.01745595603685146,0.004768062065621464,0.0022628091158881525
01031,1715,1587,0,0,0,0,0.9253644314868804,0.0,0.0,0.0
01032,503,493,0,0,0,0,0.9801192842942346,0.0,0.0,0.0
01033,6088,5681,119,23,0,0,0.9331471747700394,0.019546649145860708,0.0037779237844940868,0.0
01034,2100,1933,22,7,3,0,0.9204761904761904,0.010476190476190476,0.0033333333333333335,0.0014285714285714286
01035,5299,4727,0,122,44,0,0.8920551047367428,0.0,0.023023211926778638,0.008303453481789017
01036,4937,4613,0,31,0,0,0.9343731010735264,0.0,0.006279116872594693,0.0
01037,486,460,1,8,0,0,0.9465020576131687,0.00205761316872428,0.01646090534979424,0.0
01038,2534,2243,9,16,15,0,0.8851617995264404,0.003551696921862668,0.006314127861089187,0.005919494869771113
01039,1660,1592,10,0,0,0,0.9590361445783132,0.006024096385542169,0.0,0.0
01040,37949,22873,1609,314,54,0,0.6027299797096103,0.04239900919655327,0.008274262826424938,0.001422962396901104
01050,2573,2422,40,0,0,0,0.9413136416634279,0.01554605518849592,0.0,0.0
01053,2033,1764,165,18,12,0,0.867683226758485,0.08116084604033448,0.008853910477127398,0.005902606984751598
01054,1704,1527,14,66,8,0,0.8961267605633803,0.008215962441314555,0.03873239436619718,0.004694835680751174
01056,20846,18405,384,172,25,0,0.8829031948575267,0.018420800153506667,0.008250983402091528,0.001199270843327257
01057,8200,7644,53,133,37,0,0.9321951219512196,0.006463414634146341,0.016219512195121952,0.004512195121951219
